Question_Keywords,Answers
"['color', 'theme']",The color theme section allows you to customize the appearance of your company's dashboard.
"['appearance', 'dashboard']",The color theme section allows you to customize the appearance of your company's dashboard.
"['change', 'color', 'dashboard']",The color theme section allows you to customize the appearance of your company's dashboard.
"['theme', 'dashboard']",The color theme section allows you to customize the appearance of your company's dashboard.
"['customize', 'dashboard']",The color theme section allows you to customize the appearance of your company's dashboard.
"['add', 'tax']","To add tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
"['add', 'delivery', 'charges']","To add tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
"['update', 'tax', 'charges']","To update tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
"['update', 'delivery', 'charges']","To update tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
tax,"To add/update tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
delivery,"To add/update tax & delivery charges, 1st go to the dashboard section, then go to branch's page. Add the tax & delivery charges in the respective section and then at the right bottom, click on updated to save the changes."
"['add', 'product']","To add a new product, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
"['new', 'product']","To add a new product, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
"['add', 'menu', 'item']","To add a new item in the menu, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
"['add', 'menu']","To add a new item in the menu, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
add,"To add a new product, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
category,"To add a new product, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
product,"To add a new product, 1st go to the dashboard section, then go to product's page. Click on 'Add Products and Category' button, choose category from the given ones or add a new category. Choose product from the given ones or add a new product."
"['barcode', 'table']",The barcode on the table is used for customer scanning purpose. It is used for booking an order by a customer without interaction of the waiter.
"['scan', 'table']",The barcode on the table is used for customer scanning purpose. It is used for booking an order by a customer without interaction of the waiter.
"['order', 'barcode']",The barcode on the table is used for customer scanning purpose. It is used for booking an order by a customer without interaction of the waiter.
"['qr', 'table']",The barcode on the table is used for customer scanning purpose. It is used for booking an order by a customer without interaction of the waiter.
"['customer', 'barcode']",The barcode on the table is used for customer scanning purpose. It is used for booking an order by a customer without interaction of the waiter.
"['manage', 'discount']","To manage discounts, go to the POS section, on the top right corner, you'll see a 'Manage Discounts' button. Click on it, adjust discounts, and then click on 'Submit' button to save the changes."
"['discount', 'button']","To manage discounts, go to the POS section, on the top right corner, you'll see a 'Manage Discounts' button. Click on it, adjust discounts, and then click on 'Submit' button to save the changes."
"['add', 'discount']","To manage discounts, go to the POS section, on the top right corner, you'll see a 'Manage Discounts' button. Click on it, adjust discounts, and then click on 'Submit' button to save the changes."
"['submit', 'discount']","To manage discounts, go to the POS section, on the top right corner, you'll see a 'Manage Discounts' button. Click on it, adjust discounts, and then click on 'Submit' button to save the changes."
"['update', 'discount']","To manage discounts, go to the POS section, on the top right corner, you'll see a 'Manage Discounts' button. Click on it, adjust discounts, and then click on 'Submit' button to save the changes."
"['change', 'logo']","To change/update/upload the logo, go to the dashboard > company page. Remove the current logo, add a new one, and click on 'Update' to save."
"['update', 'logo']","To change/update/upload the logo, go to the dashboard > company page. Remove the current logo, add a new one, and click on 'Update' to save."
"['add', 'logo']","To change/update/upload the logo, go to the dashboard > company page. Remove the current logo, add a new one, and click on 'Update' to save."
"['upload', 'logo']","To change/update/upload the logo, go to the dashboard > company page. Remove the current logo, add a new one, and click on 'Update' to save."
"['edit', 'logo']","To change/update/upload the logo, go to the dashboard > company page. Remove the current logo, add a new one, and click on 'Update' to save."
"['company', 'details']","To add company details, go to dashboard > company page. Add the description and click 'Update'."
"['company', 'description']","To add company details, go to dashboard > company page. Add the description and click 'Update'."
"['company', 'information']","To add company information, go to dashboard > company page. Add the description and click 'Update'."
"['company', 'info']","To add company information, go to dashboard > company page. Add the description and click 'Update'."
business,"To add business description, go to dashboard > company page. Add the description and click 'Update'."
description,"To add business description, go to dashboard > company page. Add the description and click 'Update'."
organization,"To add organization details, go to dashboard > company page. Add the description and click 'Update'."
details,"To add organization details, go to dashboard > company page. Add the description and click 'Update'."
update,"To update company details, go to dashboard > company page. Add the description and click 'Update'."
company,"To update company details, go to dashboard > company page. Add the description and click 'Update'."
details,"To update company details, go to dashboard > company page. Add the description and click 'Update'."
"['update', 'address']","To add/update branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
"['add', 'address']","To add/update branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
change,"To change branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
location,"To change branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
update,"To update branch location, go to dashboard > branch page. Add name, city, area, then click 'Update'."
location,"To update branch location, go to dashboard > branch page. Add name, city, area, then click 'Update'."
edit,"To edit branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
address,"To edit branch address, go to dashboard > branch page. Add name, city, area, then click 'Update'."
"['opening', 'closing', 'time']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['opening', 'time']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['closing', 'time']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['business', 'hours']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['working', 'hours']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['shop', 'timing']","To add/update/change opening/closing time, go to dashboard > branch page. Update time fields and save."
"['price', 'product']","To add/update/change product price, go to dashboard > product page. Choose a product, edit price and click 'Update'."
"['change', 'price']","To add/update/change product price, go to dashboard > product page. Choose a product, edit price and click 'Update'."
"['cost', 'item']","To add/update/change product price, go to dashboard > product page. Choose a product, edit price and click 'Update'."
"['update', 'product', 'price']","To add/update/change product price, go to dashboard > product page. Choose a product, edit price and click 'Update'."
"['price', 'menu']","To add/update/change product price, go to dashboard > product page. Choose a product, edit price and click 'Update'."
add,"To add a new menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
menu,"To add a new menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
update,"To update a menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
menu,"To update a menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
update,"To update a product, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
product,"To update a product, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
edit,"To edit a menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
menu,"To edit a menu, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
edit,"To edit a product, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
product,"To edit a product, go to dashboard > products page. Click 'Add Products and Category', select or create a category, then add your product."
"['delete', 'product']","To remove/delete a product, go to product page, click the bin icon, and confirm deletion."
"['remove', 'product']","To remove/delete a product, go to product page, click the bin icon, and confirm deletion."
"['delete', 'menu']","To remove/delete a product, go to product page, click the bin icon, and confirm deletion."
